Id,Number of Phases,Number of Stages,ML content only,NLOC,Diagnosis,Recommendation
1,2,Any,Y,> Threshold ,"The cohesion of the [module name] module is low, as it combines code of two unrelated phases, Data Engineering and Model Development phases.","The [module name] module should be split, at least, into two separate modules, one containing the code of Data Engineering phase and the other containing the code of Model Development phase. If the resulting modules are too long, consider to split them into one module for each stage."
2,2,Any,Y,< Threshold,"The cohesion of the [module name] module is low, as it combines code of two unrelated phases, Data Engineering and Model Development phases.","The [module name] module is too small (NLOC = XX) but to improve cohesion it should be split into two separate modules, one containing the code of Data Engineering phase and the other containing the code of Model Development phase. "
3,2,Any,N,> Threshold,"The cohesion of the [module name] module is very low, as it combines code of two unrelated phases, Data Engineering and Model Development phases, and code not related to the pipeline.","The [module name] module should be split, at least, into three separate modules, one containing the code of Data Engineering phase, one containing the code of Model Development phase and other containing the code unrelated to the pipeline. If the resulting pipeline modules are too long, consider to split them into one module for each stage."
4,2,Any,N,< Threshold,"The cohesion of the [module name] module is very low, as it combines code of two unrelated phases, Data Engineering and Model Development phases, and code not related to the pipeline.","The [module name] module is too small (NLOC = XX) but to improve cohesion, at least, it should be split into two separate modules, one containing the code of pipeline and other containing the code unrelated to the pipeline."
5,1,>1,Y,> Threshold,"The cohesion of the [module name] module is high, as it combines code of [stage name 1] stage, [stage name 2] stage (and [stage name 3] stage) of the [phase name] phase. ","The [module name] module should be split into different modules, one for each stage."
6,1,>1,Y,< Threshold,"The cohesion of the [module name] module is high, as it combines code of [stage name 1] stage, [stage name 2] stage (and [stage name 3] stage) of the [phase name] phase. ","The [module name] module is too small (NLOC = XX) but to improve cohesion it should be split into different modules, one for each stage. "
7,1,>1,N,> Threshold,"The cohesion of the [module name] module is medium, as it combines code of [stage name 1] stage, [stage name 2] stage (and [stage name 3] stage) of the [phase name] phase and code not related to the pipeline. ","The [module name] module should be split into different modules, one for each stage and one for the code not related to the pipeline."
8,1,>1,N,< Threshold,"The cohesion of the [module name] module is medium, as it combines code of [stage name 1] stage, [stage name 2] stage (and [stage name 3] stage) of the [phase name] phase and code not related to the pipeline. ","The [module name] module is too small (NLOC = XX) but to improve cohesion, at least, it should be split into two different modules, on for the pipeline code and other for the code not related to the pipeline. "
9,1,1,Y,-,The cohesion of the [module name] module is very high.,
10,1,1,N,-,"The cohesion of the [module name] module is high, as it combines the code of [stage name] stage and the code not related to the pipeline.","The [module name] module should be split into two separate modules, one containing the code of [stage name] stage and other containing the code unrelated to the pipeline."
